symbol;ticker_pesos;moneda;securityType;sufijo;clase_liquidacion;segmento;cotiza;panel;codigoIsin;tipoEspecie;insType;emisor
ALUA;ALUA;ARS;CS;A;primary;;True;Acciones Lideres;ARALUA010258;Acciones;EQUITY;ALUAR ALUMINIO ARGENTINO S.A.
BBAR;BBAR;ARS;CS;R;primary;;True;Acciones Lideres;ARP125991090;Acciones;EQUITY;BANCO BBVA ARGENTINA S.A.
BMA;BMA;ARS;CS;A;primary;;True;Acciones Lideres;ARBANS010010;Acciones;EQUITY;BANCO MACRO S.A.
BYMA;BYMA;ARS;CS;A;primary;;True;Acciones Lideres;ARBYMA300018;Acciones;EQUITY;BOLSAS Y MERCADOS ARGENTINOS S.A. (BYMA)
CEPU;CEPU;ARS;CS;U;primary;;True;Acciones Lideres;ARP2354W1188;Acciones;EQUITY;CENTRAL PUERTO S.A.
COME;COME;ARS;CS;E;primary;;True;Acciones Lideres;ARP290071462;Acciones;EQUITY;SOCIEDAD COMERCIAL DEL PLATA S.A.
CRES;CRES;ARS;CS;S;primary;;True;Acciones Lideres;ARP331091024;Acciones;EQUITY;CRESUD S.A.
ECOG;ECOG;ARS;CS;G;primary;;True;Acciones Lideres;AR0831273179;Acciones;EQUITY;ECOGAS INVERSIONES S.A.
EDN;EDN;ARS;CS;N;primary;;True;Acciones Lideres;ARENOR010020;Acciones;EQUITY;EMPRESA DISTRIB. Y COMERCIALZADORA NORTE S.A. (EDENOR S.A.)
GGAL;GGAL;ARS;CS;L;primary;;True;Acciones Lideres;ARP495251018;Acciones;EQUITY;GRUPO FINANCIERO GALICIA S.A.
LOMA;LOMA;ARS;CS;A;primary;;True;Acciones Lideres;ARLOMA300018;Acciones;EQUITY;LOMA NEGRA COMPAÑIA INDUSTRIAL ARGENTINA SOCIEDAD ANONIMA
METR;METR;ARS;CS;R;primary;;True;Acciones Lideres;ARP6558L1178;Acciones;EQUITY;METROGAS S.A.
PAMP;PAMP;ARS;CS;P;primary;;True;Acciones Lideres;ARP432631215;Acciones;EQUITY;PAMPA ENERGIA S.A
SUPV;SUPV;ARS;CS;V;primary;;True;Acciones Lideres;ARGRSU300079;Acciones;EQUITY;GRUPO SUPERVIELLE S.A.
