Timestamp	AL29D	AL30D	AL35D	AE38D	AL41D	GD29D	GD30D	GD35D	GD38D	GD41D	GD46D	BPY6D	BPA7D	BPB7D	BPC7D	BPD7D	BPB8D
5/4/2026	63.49	63.52	76.87	79.5	72.31	65.22	64.94	78.82	82.1	73	69.33	38.35	100.6	100.8	100.7	100.75	90.2
4/30/2026	63.3	63.31	76.89	79.56	72.3	64.27	64.82	78.84	82.22	73.3	69.63	38.014	101.05	100.7	100.75	100.65	88.74
4/29/2026	63	62.97	76.42	79	72.01	64.84	63.55	78.5	81.9	72.4	69.57	37.6	101.1	100.35	100.5	100.1	89
4/28/2026	63.01	62.95	76.44	79.07	71.24	64.23	64.05	78.26	81.6	72.17	69.26	37.35	103.45	103.3	103.4	103.35	90.74
4/27/2026	62.8	62.85	76.64	79.12	71.74	64.8	63.9	78.4	82.24	72.4	69.01	36.9	103.2	103.5	103.35	103.4	91
4/24/2026	63.25	63.33	77.17	79.98	72.45	65	64.5	79.03	82.75	73.07	69.35	36.642	103.45	103.6	103.45	103.65	91.6
4/23/2026	63.2	63.36	77.49	80.22	72.45	64.54	63.96	79.2	83	73.26	69.82	36.8	103.85	103.7	103.6	103.45	91.17
4/22/2026	63.73	63.81	78.05	80.56	72.82	65.05	64.74	79.83	83.24	74	70.17	36.99	103.9	103.7	103.45	103.75	91.18
4/21/2026	63.57	63.8	78.17	80.41	72.5	64.5	64.58	79.8	83.33	73.91	70.19	36.422	103.6	103.7	103.6	103.8	91.1
4/20/2026	63.85	63.97	79	81.39	73.85	64.82	64.78	80.68	84.14	74.8	70.8	37.236	104	103.5	104	103.95	91
4/17/2026	63.57	63.85	78.77	81.54	73.55	65	64.3	80.55	83.87	74.75	70.5	37.649	105.4	103	103.4	103.35	91.81
4/16/2026	63.65	63.93	78.65	81.49	73.85	65.01	64.9	80.13	83.5	74.39	69.5	38.085	104.8	102.65	102.8	102.7	91.35
4/15/2026	64	64.01	79.25	82.03	74.14	65.72	65.49	80.44	83.9	74.45	71.1	38.7	105.8	102.95	102.65	102.7	91.6
4/14/2026	64.14	64.16	78.99	82.01	74.27	65.57	65.29	80.61	84.35	74.74	71.3	37.926	104.85	103.2	103.65	103.1	91.58
4/13/2026	64.01	63.96	78.93	82.15	73.7	65.79	65.2	80.76	84.2	74.5	71.54	38.792	106.45	103.7	103.75	103.5	91.7
4/10/2026	63.69	63.2	77.86	81.09	72.59	65.49	64.64	79.9	83.1	74.17	70.99	39.1	106.15	103.45	104	103.9	90.96
4/9/2026	63	62.8	77.3	79.95	71.61	65.25	64.06	79.12	82.89	73.6	70.39	38.86	104.2	102.9	102.65	102.65	90.2
4/8/2026	62.72	62.34	76.2	79.28	70.81	64.85	63.73	78.26	81.75	72.56	68.73	38.785	103.75	102.7	102.7	102.65	90.23
4/7/2026	62.39	61.93	74.96	78.04	70.02	64.17	63.29	76.65	80.35	71.25	68.4	38.976	103.9	102.6	102.85	102.6	89.64
4/6/2026	62.16	61.62	74.82	78.06	69.64	64.3	63.21	76.45	79.95	70.95	68.19	38.4	104.55	103.2	102.55	102.55	89.53
4/1/2026	62.05	61.4	75.2	77.8	69.79	63.85	62.91	76.21	79.87	70.83	67.9	37	103.8	102.75	102.6	102.35	89.45
