ticker,ticker_mep,emisor,vencimiento,clase
GYC3O,,360 Energy Solar S.A.,08/03/2032,Clase III (3)
GYC4O,GYC4D,360 Energy Solar S.A.,30/10/2027,Clase IV (4)
GYC5O,GYC5D,360 Energy Solar S.A.,05/09/2027,Clase V (5)
AERBO,AERBD,Aeropuertos Argentina 2000,15/12/2026,Clase XI (11)
ARC1O,ARC1D,Aeropuertos Argentina 2000,01/08/2031,Clase I Serie 2021 (1)
LMS6O,LMS6D,Aluar Aluminio Argentino S.A.,27/04/2028,Serie VI (6)
LMS7O,LMS7D,Aluar Aluminio Argentino S.A.,12/10/2028,Serie VII (7)
LMS8O,LMS8D,Aluar Aluminio Argentino S.A.,21/03/2027,Serie VIII (8)
RC1CO,RC1CD,Arcor S.A.I.C.,31/07/2033,Serie I (1)
RC2CO,RC2CD,Arcor S.A.I.C.,06/10/2026,Clase II (2)
RCCRO,RCCRD,Arcor S.A.I.C.,09/05/2027,Clase XXVI (26)
BF39O,BF39D,Banco BBVA Argentina S.A.,05/12/2026,Clase XXXIX (39)
BF40O,BF40D,Banco BBVA Argentina S.A.,27/08/2027,Clase XL (40)
BF44O,BF44D,Banco BBVA Argentina S.A.,08/05/2028,Clase XLIV (44)
AFCIO,AFCID,Banco Comafi S.A.,07/11/2026,Clase XVII (17)
BVCPO,BVCPD,BST (Banco de Servicios y Transacciones),21/10/2026,Clase XXIV (24)
VBC1O,VBC1D,Banco de Valores S.A.,11/03/2027,Serie I (1)
BYCHO,BYCHD,Banco Galicia,10/10/2028,Clase XVI (16)
HBCDO,HBCDD,Banco Hipotecario S.A.,20/11/2026,Clase XII (12)
BACHO,BACHD,Banco Macro S.A.,28/01/2031,Clase H
BGC4O,BGC4D,Banco Patagonia S.A.,13/11/2026,Clase IV (4)
BPCTO,BPCTD,Banco Supervielle S.A.,26/08/2027,Clase T
BPCUO,BPCUD,Banco Supervielle S.A.,04/12/2026,Clase U
ZZC1O,ZZC1D,Camuzzi Gas Pampeana S.A.,21/02/2027,Clase I (1)
CAC4O,CAC4D,Capex S.A.,27/02/2027,Clase IV (4)
CAC5O,CAC5D,Capex S.A.,25/08/2028,Clase V (5)
CAC7O,,Capex S.A.,07/09/2027,Clase VII (7)
CACAO,CACAD,Capex S.A.,05/07/2027,Clase X (10)
CACBO,CACBD,Capex S.A.,17/06/2028,Clase XI (11)
CACDO,CACDD,Capex S.A.,04/06/2029,Clase XII (12)
NPCCO,NPCCD,Central Puerto S.A.,25/08/2029,Clase C
NPCDO,NPCDD,Central Puerto S.A.,30/04/2030,Clase D
CICAO,CICAD,CNH Industrial Capital Arg. S.A.,03/06/2028,Clase X (10)
CICBO,CICBD,CNH Industrial Capital Arg. S.A.,09/02/2029,Clase XI (11)
CP38O,CP38D,Compania General de Combustibles S.A.,28/11/2030,Clase XXXVIII (38)
