ticker,ley,clase,vto_cupon
YM34D,EXT,Clase XXXIV (34),"Ene-2034 (8,25%)"
YMCJD,EXT,Clase XVIII (18) (Step-Up 2033),"Sep-2033 (1,50% / 7,00%)"
YMCXD,EXT,Senior Notes 2031 (Reg S / 144A),"Sep-2031 (8,75%)"
YM43D,AR,Clase XLIII (43),"Feb-2028 (5,50%)"
YM39D,AR,Clase XXXIX (39),"Jul-2030 (8,50%)"
YM42D,AR,Clase XLII (42),Mar-2029
YMCYD,AR,Clase XXXII (32),"Oct-2028 (6,50%)"
YM40D,AR,Clase XL (40),Ago-2028
YM41D,AR,Clase XLI (41),Ene-2027
YM37D,AR,Clase XXXVII (37),May-2027
YM38D,AR,Clase XXXVIII (38),Jul-2027
YMCZD,AR,Clase XXXIII (33),"Oct-2028 (7,00%)"
YMCID,EXT,Clase XVII (17) (Step-Up 2029),"Jun-2029 (2,50% / 9,00%)"
