ticker_o,legs,emisor,estructura,cupon,frec_cupon,emision,vto,vr,cuotas_cap,frec_cap,prox_cap,prox_cupon,vt_ref,ytm_ref,serie_clase,ley,base
VSCXO,ODC,VISTA ENERGY,TF,7.9,S,08-Apr-26,08-Apr-38,100,3,A,04-Aug-36,,101.1,7.65,Clase XXXI,Argentina,
YM34O,ODC,YPF,TF,8.3,S,17-Jan-25,17-Jan-34,100,3,A,17-Jan-32,,103.0,7.62,,,
YMCXO,ODC,YPF,TF,8.8,S,11-Sep-24,11-Sep-31,100,3,A,11-Sep-29,,101.9,7.48,,,
IRCPO,ODC,IRSA,TF,8.0,S,31-Mar-25,31-Mar-35,100,3,A,31-Mar-33,,101.3,7.53,,,
YM39O,ODC,YPF,TF,8.8,S,28-Aug-25,22-Jul-30,100,1,A,22-Jul-30,,103.1,7.37,Clase XXXIX,Argentina,
TLCTO,ODC,TELECOM ARGENTINA,TF,8.5,S,20-Jan-26,20-Jan-36,100,2,A,20-Jan-35,,103.0,8.28,Clase 27,Argentina,
TLCPO,ODC,TELECOM ARGENTINA,TF,9.25,S,28-May-25,28-May-33,100,2,A,28-May-32,,100.0,8.51,Clase 24,NY,30/360
VSCVO,ODC,VISTA ENERGY,TF,8.5,S,10-Jun-25,10-Jun-33,100,3,A,10-Jun-31,,104.0,7.15,Clase XXIX,Argentina,
TLCMO,ODC,TELECOM ARGENTINA,TF,9.5,S,18-Jul-24,18-Jul-31,100,3,A,18-Jul-29,,103.4,7.77,,,
MGCRO,ODC,PAMPA ENERGIA,TF,7.8,S,14-Nov-25,14-Nov-37,100,1,A,14-Nov-37,,100.3,7.79,Clase 26,Extranjera,
DNCAO,ODC,EDENOR,TF,9.5,S,28-Apr-26,28-Apr-33,100,3,A,28-Apr-31,,100.8,9.76,Clase 10,Argentina,
TSC4O,ODC,TGS,TF,7.8,S,20-Nov-25,20-Nov-35,100,1,A,20-Nov-35,,100.2,7.52,Clase 4,Extranjera,
YMCIO,ODC,YPF,SU,9.0,S,12-Feb-21,30-Jun-29,100,7,S,30-Jun-26,,103.7,6.73,,,
TTCDO,OD,TECPETROL,TF,7.6,S,03-Nov-25,03-Nov-30,100,1,A,03-Nov-30,,100.5,7.13,Clase 12,Argentina,
PLC5O,ODC,PLUSPETROL,TF,8.1,S,18-Nov-25,18-May-31,100,1,A,18-May-31,,100.2,7.94,Clase 5,Extranjera,
YMCJO,ODC,YPF,SU,7.0,S,12-Feb-21,30-Sep-33,100,4,A,30-Sep-30,,101.1,7.12,,,
DNC7O,ODC,EDENOR,TF,9.8,S,24-Oct-24,24-Oct-30,100,3,A,24-Oct-28,,100.9,9.12,,,
PN43O,ODC,PAN AMERICAN ENERGY,TF,7.8,S,15-Jan-26,15-Jan-37,100,3,A,15-Jan-35,,102.9,7.46,Clase 43,Extranjera,
TSC3O,OD,TGS,TF,8.5,S,24-Jul-24,24-Jul-31,100,1,A,24-Jul-31,,102.9,7.17,,,
MGCOO,ODC,PAMPA ENERGIA,TF,7.9,S,16-Dec-24,16-Dec-34,100,1,A,16-Dec-34,,103.5,7.60,,,
MGCMO,OD,PAMPA ENERGIA,TF,8.0,S,10-Sep-24,10-Sep-31,100,1,A,10-Sep-31,,101.7,6.91,,,
VSCTO,OD,VISTA ENERGY,TF,7.6,S,10-Dec-24,10-Dec-35,100,3,A,10-Dec-33,,103.6,7.42,,,
PN38O,OD,PAN AMERICAN ENERGY,TF,6.5,S,11-Feb-25,11-Aug-27,100,1,A,11-Aug-27,,101.9,5.26,,,
RUCDO,OD,MSU ENERGY,TF,9.8,S,05-Dec-24,05-Dec-30,100,3,A,05-Dec-28,,104.7,9.83,,,
BACGO,OD,BANCO MACRO,TF,8.0,S,23-Jun-25,23-Jun-29,100,1,A,23-Jun-29,,103.4,7.32,Clase G,Extranjera,
YFCJO,OD,YPF LUZ,TF,7.9,S,16-Oct-24,16-Oct-32,100,3,A,16-Oct-30,,100.9,7.58,,,
MTCGO,ODC,MASTELLONE,TF,11.0,T,30-Jun-21,30-Jun-26,100,1,V,30-Jun-26,,101.8,17.62,,,
PNXCO,ODC,PAN AMERICAN ENERGY,TF,8.5,S,30-Apr-24,30-Apr-32,100,3,A,30-Apr-30,,100.7,6.81,,,
PNDCO,ODC,PAN AMERICAN ENERGY,TF,9.1,S,30-Apr-21,30-Apr-27,40,5,S,30-Oct-26,,40.3,5.92,,,
BYCHO,OD,BANCO GALICIA,TF,7.8,S,10-Oct-24,10-Oct-28,100,1,A,10-Oct-28,,101.0,6.64,,,
ARC1O,ODC,AEROPUERTOS ARG 2000,TF,8.5,T,28-Oct-21,01-Aug-31,91,23,T,01-Aug-26,,91.9,3.59,,,
IRCFO,ODC,IRSA,TF,8.8,S,08-Jul-22,22-Jun-28,65,5,A,22-Jun-26,,67.5,8.50,,,
GN49O,ODC,GENNEIA,TF,7.8,S,02-Dec-25,02-Dec-33,100,3,A,02-Dec-31,,103.8,7.55,Clase XLIX,Extranjera,
TTCAO,OD,TECPETROL,TF,7.6,S,22-Jan-25,22-Jan-33,100,3,A,22-Jan-31,,102.7,7.05,,,
CAC5O,ODC,CAPEX,TF,9.3,S,25-Aug-23,25-Aug-28,62,8,S,25-Aug-26,,64.0,10.42,,,
